"filename", "language", "Python", "Markdown", "TypeScript", "JSON", "MS SQL", "TypeScript JSX", "PostCSS", "JSON with Comments", "Shell Script", "JavaScript", "Properties", "Ignore", "Docker", "XML", "YAML", "HTML", "comment", "blank", "total"
"/Users/liuying/Documents/GitHub/amazon_analyst/set_up.md", "Markdown", 0, 154, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 65, 219
"/Users/liuying/Documents/GitHub/amazon_analyst/src/aisdk/generate-video/generate-video-result.ts", "TypeScript", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13
"/Users/liuying/Documents/GitHub/amazon_analyst/src/aisdk/generate-video/generate-video.ts", "TypeScript", 0, 0, 90, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 107
"/Users/liuying/Documents/GitHub/amazon_analyst/src/aisdk/generate-video/index.ts", "TypeScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"/Users/liuying/Documents/GitHub/amazon_analyst/src/aisdk/index.ts", "TypeScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/liuying/Documents/GitHub/amazon_analyst/src/aisdk/kling/client.ts", "TypeScript", 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 13, 71
"/Users/liuying/Documents/GitHub/amazon_analyst/src/aisdk/kling/image-generation.ts", "TypeScript", 0, 0, 117, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 135
"/Users/liuying/Documents/GitHub/amazon_analyst/src/aisdk/kling/index.ts", "TypeScript", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"/Users/liuying/Documents/GitHub/amazon_analyst/src/aisdk/kling/kling-error.ts", "TypeScript", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14
"/Users/liuying/Documents/GitHub/amazon_analyst/src/aisdk/kling/kling-image-model.ts", "TypeScript", 0, 0, 126, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 150
"/Users/liuying/Documents/GitHub/amazon_analyst/src/aisdk/kling/kling-image-settings.ts", "TypeScript", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"/Users/liuying/Documents/GitHub/amazon_analyst/src/aisdk/kling/kling-provider.ts", "TypeScript", 0, 0, 75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 83
"/Users/liuying/Documents/GitHub/amazon_analyst/src/aisdk/kling/kling-video-model.ts", "TypeScript", 0, 0, 129, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 155
"/Users/liuying/Documents/GitHub/amazon_analyst/src/aisdk/kling/kling-video-settings.ts", "TypeScript", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"/Users/liuying/Documents/GitHub/amazon_analyst/src/aisdk/kling/text2video.ts", "TypeScript", 0, 0, 94, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 108
"/Users/liuying/Documents/GitHub/amazon_analyst/src/aisdk/provider/index.ts", "TypeScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/liuying/Documents/GitHub/amazon_analyst/src/aisdk/provider/video-model/index.ts", "TypeScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
